表字段,格式,解释
`cc`,string,"'cost_center',"
`bg`,string,"'bg',"
`sap_customer`,string,"'sap_customer',"
`cc_shared_space`,string,"'成本中心分摊仓库使用面积',"
`cc_shared_idle`,string,"'成本中心分摊仓库闲置面积',"
`cc_shared_office`,string,"'成本中心分摊办公使用面积',"
`cc_shared_office_idle`,string,"'成本中心分摊办公闲置面积',"
`row`,string,None
`id`,string,None
`report_month`,string,"'汇报月份',"
`email`,string,"'旧邮箱',"
`if_new_email`,string,"'是否添加/修改邮箱',"
`new_email`,string,"'添加/修改邮箱',"
`station_name`,string,"'地产站点名称',"
`if_aborted`,string,"'是否失效',"
`if_new_station`,string,"'是否新增/修改站点名称',"
`new_station`,string,"'新增/修改站点名称',"
`location_code`,string,"'location_code',"
`re_lease_id`,string,"'re/财务合同号',"
`ru`,string,"'RU',"
`total_space`,string,"'站点总面积',"
`total_whse_space`,string,"'站点总仓库面积',"
`used_space`,string,"'站点总仓库使用面积',"
`idle_space`,string,"'站点总仓库闲置面积',"
`total_office_space`,string,"'站点总办公面积',"
`total_office_used`,string,"'站点总办公使用面积',"
`total_office_idle`,string,"'站点总办公闲置面积',"
`total_rental`,string,"'月平均租金不含税',"
`idle_rental`,string,"'闲置面积租金',"
`cc_share_list`,string,"'rawdata',"
`update_time`,string,"'更新时间',"
`comments`,string,"'comments',"
`real_email`,string,"'更新后联系人',"
`real_site`,string,"'更新后站点名称',"
`link`,string,"'填写链接',"
`if_modified`,string,'是否本月更新')
